Tanggal,Harga
2014-01-15,2505000 
2014-02-15,2495000 
2014-03-15,2615000
2014-04-15,2545000
2014-05-15,2500000 
2014-06-15,2520000 
2014-07-15,2520000 
2014-08-15,2535000
2014-09-15,2490000 
2014-10-15,2480000 
2014-11-15,2450000 
2014-12-15,2515000 
2015-01-15,2560000 
2015-02-15,2480000 
2015-03-15,2570000
2015-04-15,2590000 
2015-05-15,2650000 
2015-06-15,2620000 
2015-07-15,2605000
2015-08-15,2590000
2015-09-15,2650000 
2015-10-15,2695000 
2015-11-15,2600000 
2015-12-15,2590000 
2016-01-15,2570000 
2016-02-15,2695000 
2016-03-15,2655000 
2016-04-15,2680000 
2016-05-15,2780000 
2016-06-15,2825000 
2016-07-15,2860000 
2016-08-15,2890000 
2016-09-15,2880000 
2016-10-15,2850000 
2016-11-15,2820000 
2016-12-15,2770000 
2017-01-15,2795000 
2017-02-15,2850000 
2017-03-15,2740000 
2017-04-15,2845000
2017-05-15,2750000 
2017-06-15,2805000 
2017-07-15,2785000 
2017-08-15,2850000 
2017-09-15,2925000 
2017-10-15,3006820 
2017-11-15,2971505 
2017-12-15,2941000 
2018-01-15,3032000 
2018-02-15,3006820 
2018-03-15,3077000
2018-04-15,3127000 
2018-05-15,3127000 
2018-06-15,3117000 
2018-07-15,3082000 
2018-08-15,3072000
2018-09-15,3142000 
2018-10-15,3222000 
2018-11-15,3147000 
2018-12-15,3095000 
2019-01-15,3120000
2019-02-15,3222000 
2019-03-15,3150000 
2019-04-15,3120000 
2019-05-15,3165000
2019-06-15,3225000 
2019-07-15,3350000
2019-08-15,3615000 
2019-09-15,3545000 
2019-10-15,3600000 
2019-11-15,3560000
2019-12-15,3570000
2020-01-15,3655000
2020-02-15,3600000 
2020-03-15,3865000
2020-04-15,4535000 
2020-05-15,4405000 
2020-06-15,4290000 
2020-07-15,4490000 
2020-08-15,4955000 
2020-09-15,4965000 
2020-10-15,4825000 
2020-11-15,4700000
2020-12-15,4530000 
2021-01-15,4555000 
2021-02-15,4825000 
2021-03-15,4395000 
2021-04-15,4400000 
2021-05-15,4440000 
2021-06-15,4490000 
2021-07-15,4540000 
2021-08-15,4485000 
2021-09-15,4470000 
2021-10-15,4470000 
2021-11-15,4470000 
2021-12-15,4470000 
2022-01-15,22325000 
2022-02-15,4470000 
2022-03-15,23725000 
2022-04-15,24025000 
2022-05-15,23050000 
2022-06-15,23675000 
2022-07-15,22925000 
2022-08-15,23575000 
2022-09-15,22425000 
2022-10-15,4450000 
2022-11-15,4640000 
2022-12-15,4840000
