Tanggal,Harga
2014-01-15,4960000 
2014-02-15,4940000 
2014-03-15,5180000
2014-04-15,5040000
2014-05-15,4950000 
2014-06-15,4990000 
2014-07-15,4990000 
2014-08-15,5020000
2014-09-15,4930000 
2014-10-15,4910000 
2014-11-15,4850000 
2014-12-15,4980000 
2015-01-15,5070000 
2015-02-15,4910000 
2015-03-15,5090000
2015-04-15,5130000 
2015-05-15,5250000 
2015-06-15,5190000 
2015-07-15,5160000
2015-08-15,5130000
2015-09-15,5250000 
2015-10-15,5340000 
2015-11-15,5150000 
2015-12-15,5130000 
2016-01-15,5090000 
2016-02-15,5340000 
2016-03-15,5260000 
2016-04-15,5310000 
2016-05-15,5510000 
2016-06-15,5600000 
2016-07-15,5670000 
2016-08-15,5730000 
2016-09-15,5710000 
2016-10-15,5650000 
2016-11-15,5590000 
2016-12-15,5490000 
2017-01-15,5540000 
2017-02-15,5650000 
2017-03-15,5430000 
2017-04-15,5640000
2017-05-15,5450000 
2017-06-15,5560000 
2017-07-15,5520000 
2017-08-15,5650000 
2017-09-15,5800000 
2017-10-15,5963190 
2017-11-15,5892560 
2017-12-15,5832000 
2018-01-15,6013000 
2018-02-15,5963190 
2018-03-15,6104000
2018-04-15,6205000 
2018-05-15,6205000 
2018-06-15,6185000 
2018-07-15,6114000 
2018-08-15,6059000
2018-09-15,6195000 
2018-10-15,6356000 
2018-11-15,6205000 
2018-12-15,6125000 
2019-01-15,6175000
2019-02-15,6356000 
2019-03-15,6235000 
2019-04-15,6175000 
2019-05-15,6265000
2019-06-15,6385000 
2019-07-15,6635000
2019-08-15,7165000 
2019-09-15,7025000 
2019-10-15,7135000 
2019-11-15,7055000
2019-12-15,7075000
2020-01-15,7245000
2020-02-15,7135000 
2020-03-15,7665000
2020-04-15,9005000 
2020-05-15,8745000 
2020-06-15,8515000 
2020-07-15,8915000 
2020-08-15,9845000 
2020-09-15,9865000 
2020-10-15,9585000 
2020-11-15,9345000
2020-12-15,9005000 
2021-01-15,9055000 
2021-02-15,9585000 
2021-03-15,8735000 
2021-04-15,8745000 
2021-05-15,8825000 
2021-06-15,8925000 
2021-07-15,9025000 
2021-08-15,8915000 
2021-09-15,8885000 
2021-10-15,8885000 
2021-11-15,8885000 
2021-12-15,8885000 
2022-01-15,88750000 
2022-02-15,8885000 
2022-03-15,94350000 
2022-04-15,95550000 
2022-05-15,91650000 
2022-06-15,93900000 
2022-07-15,91150000 
2022-08-15,93750000 
2022-09-15,89150000 
2022-10-15,8845000 
2022-11-15,9225000 
2022-12-15,9625000
