Tanggal,Harga
2014-01-15,49150000 
2014-02-15,48950000 
2014-03-15,51350000
2014-04-15,49950000
2014-05-15,49050000 
2014-06-15,49450000 
2014-07-15,49450000 
2014-08-15,49750000
2014-09-15,48850000 
2014-10-15,48650000 
2014-11-15,48050000 
2014-12-15,49350000 
2015-01-15,50250000 
2015-02-15,48650000 
2015-03-15,50450000
2015-04-15,50850000 
2015-05-15,52050000 
2015-06-15,51450000 
2015-07-15,51150000
2015-08-15,50850000
2015-09-15,52050000 
2015-10-15,52950000 
2015-11-15,51050000 
2015-12-15,50850000 
2016-01-15,50450000 
2016-02-15,52950000 
2016-03-15,52150000 
2016-04-15,52650000 
2016-05-15,54650000 
2016-06-15,55550000 
2016-07-15,56250000 
2016-08-15,56850000 
2016-09-15,56650000 
2016-10-15,56050000 
2016-11-15,55450000 
2016-12-15,54450000 
2017-01-15,54950000 
2017-02-15,56050000 
2017-03-15,53850000 
2017-04-15,55950000
2017-05-15,54050000 
2017-06-15,55150000 
2017-07-15,54750000 
2017-08-15,56050000 
2017-09-15,57550000 
2017-10-15,59177900 
2017-11-15,58471600 
2017-12-15,57866000 
2018-01-15,59682000 
2018-02-15,59177900 
2018-03-15,60590000
2018-04-15,61599000 
2018-05-15,61599000 
2018-06-15,61397000 
2018-07-15,60691000 
2018-08-15,59722000
2018-09-15,60933000 
2018-10-15,62547000 
2018-11-15,61034000 
2018-12-15,60600000 
2019-01-15,61100000
2019-02-15,62547000 
2019-03-15,61700000 
2019-04-15,61100000 
2019-05-15,62000000
2019-06-15,63200000 
2019-07-15,65700000
2019-08-15,71000000 
2019-09-15,69600000 
2019-10-15,70700000 
2019-11-15,69900000
2019-12-15,70100000
2020-01-15,71800000
2020-02-15,70700000 
2020-03-15,76000000
2020-04-15,89400000 
2020-05-15,86800000 
2020-06-15,84412000 
2020-07-15,88412000 
2020-08-15,97712000 
2020-09-15,97912000 
2020-10-15,95112000 
2020-11-15,92712000
2020-12-15,89312000 
2021-01-15,89812000 
2021-02-15,95112000 
2021-03-15,86612000 
2021-04-15,86712000 
2021-05-15,87512000 
2021-06-15,88512000 
2021-07-15,89512000 
2021-08-15,88412000 
2021-09-15,88112000 
2021-10-15,88112000 
2021-11-15,88112000 
2021-12-15,88112000 
2022-01-15,8801200000 
2022-02-15,88112000 
2022-03-15,9361200000 
2022-04-15,9481200000 
2022-05-15,9091200000 
2022-06-15,9276000000 
2022-07-15,9041200000 
2022-08-15,9301200000 
2022-09-15,8841200000 
2022-10-15,87712000 
2022-11-15,91512000 
2022-12-15,95512000
